study_id	trait	trait_category	finemap_method	n_credible_sets	n_variants	n_variants_source	n_samples	canonical_trait	statistic	ancestry	trait_detail
FINNGEN_R12_ULCERNAS	Ulcerative colitis, NAS	autoimmune	SuSiE	33	21311942	finngen_r12_cohort_constant	482657	Ulcerative colitis		Finnish	Ulcerative colitis, NAS
FINNGEN_R12_ULCEROTH	Other ulcerative colitis	autoimmune	SuSiE	11	21311942	finngen_r12_cohort_constant	478858	Ulcerative colitis		Finnish	Other ulcerative colitis
FINNGEN_R12_ULCERRECT	Ulcerative rectosigmoiditis	autoimmune	SuSiE	17	21311942	finngen_r12_cohort_constant	479968	Ulcerative colitis		Finnish	Ulcerative rectosigmoiditis
GCST000207	Crohn's disease	autoimmune	PICS	30	635547	gwas_catalog_rest_snpCount	8059	Crohn's disease		European	Crohn's disease
GCST000612	Celiac disease	autoimmune	PICS	10	292387	gwas_catalog_rest_snpCount	15283	Celiac disease		European	Celiac disease
GCST000624	Ulcerative colitis	autoimmune	PICS	10	266047	gwas_catalog_rest_snpCount	9484	Ulcerative colitis		European	Ulcerative colitis
GCST000879	Crohn's disease	autoimmune	PICS	66	953241	gwas_catalog_rest_snpCount	21389	Crohn's disease		European	Crohn's disease
GCST000964	Ulcerative colitis	autoimmune	PICS	40	1100000	gwas_catalog_rest_snpCount	26405	Ulcerative colitis		European	Ulcerative colitis
GCST001725	Inflammatory bowel disease	autoimmune	PICS	100	1230000	gwas_catalog_rest_snpCount	34366	Inflammatory bowel disease		European	Inflammatory bowel disease
GCST001728	Ulcerative colitis	autoimmune	PICS	16	1230000	gwas_catalog_rest_snpCount	34366	Ulcerative colitis		European	Ulcerative colitis
GCST001729	Crohn's disease	autoimmune	PICS	27	1230000	gwas_catalog_rest_snpCount	34366	Crohn's disease		European	Crohn's disease
GCST004131	Inflammatory bowel disease	autoimmune	SuSiE-inf	128	9725440	gwas_catalog_rest_snpCount	59957	Inflammatory bowel disease		European;NR	Inflammatory bowel disease
GCST004132	Crohn's disease	autoimmune	SuSiE-inf	100	9560910	gwas_catalog_rest_snpCount	40266	Crohn's disease		European;NR	Crohn's disease
GCST004133	Ulcerative colitis	autoimmune	SuSiE-inf	64	9578670	gwas_catalog_rest_snpCount	45975	Ulcerative colitis		European;NR	Ulcerative colitis
GCST005523	Celiac disease	autoimmune	PICS	32	139553	gwas_catalog_rest_snpCount	24269	Celiac disease		European;South Asian	Celiac disease
GCST009874	Celiac disease	autoimmune	PICS	26	252970	gwas_catalog_rest_snpCount	33797	Celiac disease		European	Celiac disease
GCST011501	Inflammatory bowel disease	autoimmune	PICS	20	8546065	gwas_catalog_rest_snpCount	456327	Inflammatory bowel disease		European	Inflammatory bowel disease
GCST90014442	Celiac disease	autoimmune	SuSiE-inf	21	9940918	gwas_catalog_rest_snpCount	326438	Celiac disease		European	Celiac disease
GCST90014443	Celiac disease	autoimmune	SuSiE-inf	18	9940918	gwas_catalog_rest_snpCount	325334	Celiac disease		European	Celiac disease
GCST90014444	Inflammatory bowel disease	autoimmune	SuSiE-inf	15	9940918	gwas_catalog_rest_snpCount	329179	Inflammatory bowel disease		European	Inflammatory bowel disease
GCST90014445	Inflammatory bowel disease	autoimmune	SuSiE-inf	12	9940918	gwas_catalog_rest_snpCount	327612	Inflammatory bowel disease		European	Inflammatory bowel disease
GCST90018933	Ulcerative colitis	autoimmune	PICS	16	25840981	gwas_catalog_rest_snpCount	596621	Ulcerative colitis		East Asian;European	Ulcerative colitis
GCST90038683	Inflammatory bowel disease	autoimmune	SuSiE-inf	15	9886868	gwas_catalog_rest_snpCount	484598	Inflammatory bowel disease		NR	Inflammatory bowel disease
GCST90038684	Ulcerative colitis	autoimmune	SuSiE-inf	11	9886868	gwas_catalog_rest_snpCount	484598	Ulcerative colitis		NR	Ulcerative colitis
GCST90129459	Ulcerative colitis	autoimmune	SuSiE-inf	15	11323612	gwas_catalog_rest_snpCount	203984	Ulcerative colitis		European	Ulcerative colitis
GCST90319897	Crohn's disease	autoimmune	PICS	26	8950452	gwas_catalog_rest_snpCount	79121	Crohn's disease		East Asian	Crohn's disease
GCST90432147	ICD10 K50, K51: inflammatory bowel disease	autoimmune	PICS	16	8573123	gwas_catalog_rest_snpCount	329707	Inflammatory bowel disease		European	ICD10 K50, K51: inflammatory bowel disease
GCST90432182	Inflammatory bowel disease	autoimmune	SuSiE-inf	111	12582963	opentargets_sumstat_qc_n_variants	29849	Inflammatory bowel disease		East Asian	Inflammatory bowel disease
GCST90436337	Ulcerative colitis (PheCode 555.2)	autoimmune	SuSiE-inf	10	28000000	gwas_catalog_rest_snpCount	337978	Ulcerative colitis		European	Ulcerative colitis (PheCode 555.2)
GCST90436342	Celiac disease (PheCode 557.1)	autoimmune	SuSiE-inf	9	28000000	gwas_catalog_rest_snpCount	336638	Celiac disease		European	Celiac disease (PheCode 557.1)
GCST90446793	Crohn's disease	autoimmune	SuSiE-inf	99	12589513	opentargets_sumstat_qc_n_variants	22828	Crohn's disease		East Asian	Crohn's disease
GCST90446795	Ulcerative colitis	autoimmune	SuSiE-inf	63	12586202	opentargets_sumstat_qc_n_variants	22318	Ulcerative colitis		East Asian	Ulcerative colitis
GCST90476065	Inflammatory bowel disease and other gasteroenteritis and colitis (PheCode 555)	autoimmune	SuSiE-inf	16	44300000	gwas_catalog_rest_snpCount	446753	Inflammatory bowel disease		European	Inflammatory bowel disease and other gasteroenteritis and colitis (PheCode 555)
GCST90476067	Ulcerative colitis	autoimmune	SuSiE-inf	10	44300000	gwas_catalog_rest_snpCount	447331	Ulcerative colitis		European	Ulcerative colitis
GCST90479614	Takes medication for celiac disease/sprue?	autoimmune	PICS	80	44300000	gwas_catalog_rest_snpCount	371173	Celiac disease		African American or Afro-Caribbean;European	Takes medication for celiac disease/sprue?
GCST90479615	Takes medication for Crohn's disease?	autoimmune	PICS	18	44300000	gwas_catalog_rest_snpCount	371173	Crohn's disease		African American or Afro-Caribbean;European	Takes medication for Crohn's disease?
GCST90479616	Crohn's disease	autoimmune	PICS	18	44300000	gwas_catalog_rest_snpCount	371173	Crohn's disease		African American or Afro-Caribbean;European	Crohn's disease
GCST90479621	Takes medication for ulcerative colitis?	autoimmune	PICS	56	44300000	gwas_catalog_rest_snpCount	400487	Ulcerative colitis		African American or Afro-Caribbean;European;Hispanic or Latin American	Takes medication for ulcerative colitis?
GCST90479622	Ulcerative colitis	autoimmune	PICS	29	44300000	gwas_catalog_rest_snpCount	400487	Ulcerative colitis		African American or Afro-Caribbean;European;Hispanic or Latin American	Ulcerative colitis
GCST90480318	Ulcerative colitis (chronic) (PheCode 555.21)	autoimmune	PICS	149	44300000	gwas_catalog_rest_snpCount	629991	Ulcerative colitis		African American or Afro-Caribbean;European;Hispanic or Latin American	Ulcerative colitis (chronic) (PheCode 555.21)
GCST90480319	Ulcerative colitis	autoimmune	PICS	30	44300000	gwas_catalog_rest_snpCount	627518	Ulcerative colitis		African American or Afro-Caribbean;European;Hispanic or Latin American	Ulcerative colitis
GCST90480320	Inflammatory bowel disease and other gasteroenteritis and colitis (PheCode 555)	autoimmune	PICS	25	44300000	gwas_catalog_rest_snpCount	626677	Inflammatory bowel disease		African American or Afro-Caribbean;European;Hispanic or Latin American	Inflammatory bowel disease and other gasteroenteritis and colitis (PheCode 555)
GCST90558088	Coeliac disease	autoimmune	PICS	12	7216568	gwas_catalog_rest_snpCount	337455	Celiac disease		European	Coeliac disease
